mindate,maxdate,name,datacoverage,id
1978-03-01,2014-01-01,"Terre Haute, IN US",0.0115,CITY:US180013
1992-03-01,2013-12-01,"Vincennes, IN US",0.0115,CITY:US180014
1971-01-03,2014-01-01,"Ames, IA US",0.011,CITY:US190001
1984-01-01,2014-01-01,"Burlington, IA US",0.0075,CITY:US190002
1980-08-04,2014-01-01,"Cedar Falls, IA US",0.0092,CITY:US190004
1971-05-01,2014-01-01,"Clinton, IA US",0.0098,CITY:US190006
1972-07-17,2014-01-01,"Davenport, IA US",0.0091,CITY:US190007
1971-05-01,2006-06-01,"Des Moines, IA US",0.0071,CITY:US190008
1984-01-01,2014-01-01,"Dubuque, IA US",0.0089,CITY:US190009
1971-05-04,2014-01-01,"Fort Dodge, IA US",0.0083,CITY:US190010
1979-09-24,2014-01-01,"Iowa City, IA US",0.0085,CITY:US190011
1971-05-01,2014-01-01,"Keokuk, IA US",0.0105,CITY:US190012
1984-01-01,2014-01-01,"Marshalltown, IA US",0.0099,CITY:US190013
1991-01-01,2003-04-02,"Mason City, IA US",0.0093,CITY:US190014
1976-04-16,2000-09-01,"Ottumwa, IA US",0.0095,CITY:US190016
1975-07-01,2014-01-01,"Spencer, IA US",0.009,CITY:US190018
1984-01-01,2014-01-01,"Coffeyville, KS US",0.0105,CITY:US200001
1971-05-08,2014-01-01,"Garden City, KS US",0.0108,CITY:US200004
1972-04-01,2014-01-01,"Hays, KS US",0.0091,CITY:US200006
1971-05-01,2014-01-01,"Lawrence, KS US",0.0086,CITY:US200008
1982-08-19,1988-03-01,"Leavenworth, KS US",0.0087,CITY:US200009
1983-08-01,2004-12-01,"Manhattan, KS US",0.0067,CITY:US200011
1976-05-05,2014-01-01,"Salina, KS US",0.0079,CITY:US200013
2004-08-01,2014-01-01,"Wichita, KS US",0.0088,CITY:US200015
1987-09-01,2012-09-19,"Campbellsville, KY US",0.0081,CITY:US210002
1979-01-01,1981-10-31,"Danville, KY US",0.0022,CITY:US210003
1971-05-02,2014-01-01,"Elizabethtown, KY US",0.0084,CITY:US210004
1981-09-02,2014-01-01,"Frankfort, KY US",0.0113,CITY:US210006
1974-02-02,2014-01-01,"Hopkinsville, KY US",0.0108,CITY:US210007
2013-06-01,2014-01-01,"Lexington, KY US",0.0113,CITY:US210008
1982-07-03,2014-01-01,"Louisville, KY US",0.0099,CITY:US210009
1980-05-01,2014-01-01,"Madisonville, KY US",0.0099,CITY:US210010
1971-05-06,2007-02-01,"Middlesborough, KY US",0.0063,CITY:US210011
1971-05-01,1999-05-01,"Owensboro, KY US",0.008,CITY:US210013
1971-05-01,2014-01-01,"Paducah, KY US",0.0106,CITY:US210014
1971-05-02,2003-11-30,"Somerset, KY US",0.0089,CITY:US210015
1971-05-06,2014-01-01,"Alexandria, LA US",0.015,CITY:US220001
1990-02-01,2009-11-01,"Bastrop, LA US",0.0151,CITY:US220002
1982-05-07,2014-01-01,"Baton Rouge, LA US",0.0121,CITY:US220003
1976-02-01,2014-01-01,"Bogalusa, LA US",0.0096,CITY:US220004
1971-05-06,2014-01-01,"Fort Polk South, LA US",0.0105,CITY:US220005
1983-12-01,2014-01-01,"Hammond, LA US",0.0097,CITY:US220006
1996-05-01,2014-01-01,"Houma, LA US",0.0256,CITY:US220007
1971-05-02,2014-01-01,"Jennings, LA US",0.0128,CITY:US220008
1971-05-07,2014-01-01,"Lafayette, LA US",0.0086,CITY:US220009
1971-05-03,2014-01-01,"Minden, LA US",0.0086,CITY:US220011
1971-04-01,2012-10-01,"Monroe, LA US",0.0151,CITY:US220012
